longitude,latitude,name,comment,inscription,page_url,erected_by,erected_date,categories,credits
-74.75877911,40.20056372,The World Arrives … … Trenton Thrives,"Near John Fitch Parkway (U.S. 29) , Trenton,","Just as the river has for centuries flowed across the falls of the Delaware, so have waves of people streamed into the Trenton area to settle, raise families and make a living. Still more people have passed through this hub in the landscape – along the river and roadways, across the ford, aboard ferries and over bridges.
Native Americans were drawn here by nature’s abundance. As seasonal visits turned into extended stays, American-Indian camps on the riverbanks grew into villages. Later, colonial farmers, craftsmen and merchants supported Trenton’s rise as a market town and the port of Lamberton tied the community into the regional trade network. In the 19th century, turnpikes, canals and then railroads transported Trenton into the Industrial Revolution. Manufacturing and business opportunities attracted thousands upon thousands of workers and their families from all over the world. Today, Trenton sits more squarely than ever astride the Boston-to-Washington corridor midway between New York and Philadelphia, a mosaic of ethnicity past and present.
  
1. Northwest Europeans in the 17th and 18th Centuries 
The European imprint on the Delaware valley commenced with exploration and trade with Native Americans in the mid-17th century. Dutch, Swedish and English interests vied for control, involving mariners and traders from each of these nations and other parts of western Europe. Swedes and Finns soon settled in the Lower Delaware, but fell under Dutch and then English sovereignty. In the 1670s, English Quaker settlement began in earnest, reaching up to the falls of the Delaware. 
While Quaker immigrants dominated Delaware Valley settlement into the early 18th century, they were soon joined by English, Scots, Welsh and Irish of other religious backgrounds, along with German and Dutch Protestants. Many Anglo-American settlers brought indentured servants who established their own farms after working off the obligation to their masters. British and Dutch non-Quakers also imported slaves from West Africa, usually via the Caribbean. African-Americans in the Trenton area numbered around 5% of the total population in the colonial period. Most colonial inhabitants of the Middle Delaware Valley made their living as farmers.  
2. Newcomers from the Revolutionary War to the Civil War 
In the early years of the republic, many American citizens seeking work and business opportunities moved to emerging industrial centers like Trenton. Around 1800, a small but influential immigrant group, including French displaced by the slave insurrection in Hispaniola, Portuguese and Italians, settled in the Trenton-Bordentown area, establishing a local Catholic presence. As Trenton industrialized in the 1830s and 1840s, numerous Irish workers moved into the Middle Delaware Valley to build canals and railroads. 
German immigrants flowed into the region throughout the early 19th century, their numbers increasing especially in the 1850s and 1860s. In Trenton, German management and skilled labor contributed mightily to the success of the city’s wire rope factories, foundries, machine shops and breweries. British immigration also continued into the Civil War era, with English-trained potters underpinning the rise of Trenton as the “Staffordshire of America,” and other skilled workers making their mark in the iron and steel industry and the engineering profession. From the 1860s through the 1880s, a surge of Irish workers filled job openings in the burgeoning iron and steel and pottery plants.
  
3. Immigrant Waves of the Late 19th and Early 20th Centuries 
Between the 1870s and the 1920s, the immigrant population of Trenton changed from one dominated by Germans, British and Irish to one composed chiefly of southern and eastern Europeans. In 1890, roughly 11% of Trenton’s immigrants came from southern and eastern Europe; by 1910, this source area accounted for 56% of the city’s immigrants; by 1920, the number was more than 70%. Like most Europeans who sought new opportunities in America during the period, Trenton’s newcomers entered via the ports of New York and Philadelphia; from 1892, most immigrants were processed through Ellis Island. The majority of Trenton’s immigrants during this period sought work in the city’s metalworking plants, potteries and rubber factories. 
The Italians were the largest late 19th/early 20th-century immigrant group and their cultural imprint can still be seen in the city’s Chambersburg district and many outlying suburbs. In 1920, other Trenton immigrant populations exceeding 1,000 individuals were the Polish, Hungarian, Russian, Slovakian and Austrian communities, while smaller numbers of Romanians, Croatians, Slovenians, Serbs, Dalmatians, Greeks and Armenians were also present. Many Trenton neighborhoods are still imbued today with southern and eastern European ethnic influence, seen for example in churches, signs and family names.
  
4. Global Relocation Later in the 20th Century 
The influx of Europeans into Trenton tapered off in the mid-20th century owing to increasingly strict immigration restrictions, economic instability and the Depression, World War II and suburban growth. The city’s population peaked in 1950 at 128,000. From the 1930s onward, Trenton became home to increasing numbers of African-Americans relocating from the southern states for better employment opportunities. In the late 20th century, many immigrants of African origin also moved to Trenton from the Caribbean, while appreciable numbers of Africans relocated to the city direct from Africa, from countries like Nigeria and Liberia. In 1930, some 7% of Trenton’s population was African-American, in 1960, this was 23% by 2000, it was 54%. 
The city likewise welcomed a growing Hispanic community, which accounted for 22% of the city’s population in 2000. Immigrants from Puerto Rico, Mexico and other Central American countries mostly fueled this rapid growth. In the larger area of mercer County a sizable Asian community of more 17,000, composed mainly of Koreans, Indians and Pakistanis also took root by 2000, representing 5% of the county population.",https://www.hmdb.org/marker.asp?marker=4417,New Jersey Department of Transportation.,2004,"20th Century,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  December 30, 2007, by Gary Nigh of Trenton, New Jersey.  This page has been viewed 993 times since then and 40 times this year."
-86.17021054,39.77137213,Bulgarian Orthodox Church,"On North Blackford Street, Indianapolis, (On the right when traveling south)","Original site of Saint Stephan Bulgarian Orthodox Church in 1915; relocated in 1955 to 1435 North Medford Avenue. Founded by Macedonian and Bulgarian immigrants to fulfill their religious needs and enjoyment of the traditions, customs, and fellowship of their Slavonic heritage.",https://www.hmdb.org/marker.asp?marker=4616,"Indiana Historical BureauLadies Auxiliary of St. Stephen, and St. Stephen Church Members.(Marker Number 49.1995.1.)",1995,"Churches, Etc.","This page was last revised on June 16, 2016. This page originally submitted on  January 7, 2008, by Craig Swain of Leesburg, Virginia.  This page has been viewed 1,400 times since then and 46 times this year."
-104.98764,39.740295,Smoky Hill Trail,"On Broadway, Denver, ","This tablet is the 
Property of the State of Colorado 
—— 
Here was the end of the famous Smoky Hill Trail 
Immigrant and stage road extending 
from the Missouri River to Denver. 
Traversed by pioneers in 1858. 
Surveyed by W.G. Russell in 1860. 
Route of Butterfield's Overland 
Despatch and Wells Fargo Express. 
The trail took its human toll -  
Death by thirst and Indian raids.",https://www.hmdb.org/marker.asp?marker=4678,"State Historical Society of Colorado, The Mrs. J.N. Hall Foundation, City and County of Denver.(Marker Number 40.)",1936,"Exploration,Industry & Commerce,Roads & Vehicles,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  January 11, 2008, by Christopher Light of Valparaiso, Indiana.  This page has been viewed 3,666 times since then and 130 times this year."
-92.93984,47.44493,Schools,"On Lincoln Street, near Hibbing, (On the left when traveling east)","Education was very important to the new immigrants. They wanted their children to have an education that they were unable to have.
   
From small schools in the early years to bigger and better schools such as the Lincoln High School that was on this site with its gym and swimming pool, to the Washington and Jefferson Elementary Schools two blocks to the north, the dream of a good education system for their children was fulfilled.",https://www.hmdb.org/marker.asp?marker=5183,,,Education,"This page was last revised on June 16, 2016. This page originally submitted on  February 5, 2008, by Keith L of Wisconsin Rapids, Wisconsin.  This page has been viewed 1,278 times since then and 52 times this year."
-81.095718,32.076456,German Memorial Fountain,"On Barnard Street, Savannah, (On the left when traveling south)","This Fountain Commemorates The Religious, 
Social, Agricultural, Economic, And Political 
Contributions Of Early German Immigrants 
To The Establishment And Growth  
Of The Colony Of Georgia. 
erected And Dedicated in 1989 
By Their Descendants  

Members Of 
German Heritage Society 
German Friendly Society 
Georgia Salzburger Society",https://www.hmdb.org/marker.asp?marker=5474,"German Heritage Society,German Friendly Society,Georgia Salzburger Society",,Settlements & Settlers,"This page was last revised on June 16, 2016. This page originally submitted on  February 17, 2008, by Mike Stroud of Bluffton, South Carolina.  This page has been viewed 951 times since then and 30 times this year."
-76.610933,39.285519,The Port of Baltimore,"Near Pratt Street, Baltimore, ","Moving Goods Since 1729, Baltimore has owed its existence to its deepwater port. The city looks east to the Chesapeake Bay and ports around the world. It also looks west with access to markets in America’s heartland. It began with local farmers bringing in their crops. In the early 1800s, the National Road, which started here
as the Baltimore and Frederick-Town Turnpike, gave the port more and more reach inland.   
Moving People 
“The long ocean trip is ended and the great unknown is before them.” 
Baltimore has always welcomed immigrants. Many have been poor and desperate, fleeing war and famine. They were seeking comfortable lives and religious freedom. At first, most were Germans and Irish. Later, they were Poles, Italians, Scandinavians, Czechs, Lithuanians, Greeks, Russians and freed Blacks. Many traveled west on the National Road, adding their ingredient to the American “melting pot.” Second only to New York, Baltimore was a doorway to a new life for
millions.  
[Photo of the Port of Baltimore, courtesy of the Baltimore &amp; Ohio Railroad Museum] 
Steam and sail once competed for business in a crowded Baltimore Harbor. Trucks still carry cargo to and
from modern marine terminals on centuries old roads.  
[Photo of immigrants on a ship, courtesy of the Maryland State Archives] As immigrants landed
in Baltimore and took to American roads and railroads, they created a rich tapestry of cultures throughout the nation.",https://www.hmdb.org/marker.asp?marker=6140,America's Byways,,"20th Century,Roads & Vehicles,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  March 12, 2008, by Christopher Busta-Peck of Shaker Heights, Ohio.  This page has been viewed 1,263 times since then and 49 times this year."
-76.541932,38.843579,Welcome to Galesville,"On Main Street, Galesville, ","The members of the Galesville Heritage Society invite you to explore their historic village. First settled in 1654 on the banks of West River, Galesville and its history are fundamentally linked to the Chesapeake Bay.   Native Americans, English settlers, African slaves, German immigrants, wealthy vacationers, and recreational boaters have all played a part in Galesville's history. Locals have earned their living fishing, crabbing, oystering, farming, and running small businesses. Some commute to Annapolis, Baltimore, and Washington for work. Though the people and their vocations change, Galesville's strong sense of community endures. 

[photo] 
The Carrie Weedon House was dedicated as the Galesville Heritage Museum on May 1, 2004.  

[photo] 
Ebenezer A.M.E. and other churches are still centers of community life.  

[photo] 
German immigrants, like the Bunnigs (later Benning), came to Galesville in the late 19th century.  

[photo] 
The Quaker Burying Ground lies on the town's western edge. One of the first Quaker meetings in Maryland was held in Galesville during the 17th century.",https://www.hmdb.org/marker.asp?marker=6201,,,"20th Century,Notable Places","This page was last revised on June 16, 2016. This page originally submitted on  March 14, 2008, by Christopher Busta-Peck of Shaker Heights, Ohio.  This page has been viewed 1,356 times since then and 140 times this year."
-76.591369,39.283219,St. Stanislaus Kostka Church,"On South Ann Street, Baltimore, (On the right when traveling south)","Coming to Maryland in 1868, the first major influx of Poles settled at Fells Point where, at 223 S. Bond Street beginning in 1877, they conducted their religious services. Under Rev. Peter Koncz (1839-1886), they organized the Parish of St. Stanislaus Kostka in 1879 and dedicated this church on 26 June 1881. Since 1905, this parish has been under the care of the Franciscan Conventuals who continue to help Polish immigrants to adjust to American life.  Dedicated November 6, 1988",https://www.hmdb.org/marker.asp?marker=6456,Maryland State Council of Caravans and The International Order of the Alhambra.,1988,"Churches, Etc.","This page was last revised on June 16, 2016. This page originally submitted on  March 22, 2008, by Christopher Busta-Peck of Shaker Heights, Ohio.  This page has been viewed 1,295 times since then and 48 times this year."
-76.70553333,40.2655,Hummelstown Brownstone Quarries,"On 104 E. Main Street, Hummelstown, (On the right","High quality brownstone was quarried near here 1863-1929, and sold across the nation as a preferred masonry material of builders. The Hummelstown Brownstone Company, founded by Allen Walton, employed immigrant skilled stonecutters and laborers in its quarries.",https://www.hmdb.org/marker.asp?marker=7132,Pennsylvania Historical and Museum Commission.,2005,"Industry & Commerce,Natural Features,Natural Resources","This page was last revised on June 16, 2016. This page originally submitted on  April 15, 2008, by Bill Pfingsten of Bel Air, Maryland.  This page has been viewed 2,144 times since then and 155 times this year."
-102.4307,51.63063,Ukrainian Settlers of Canora,"On Norway Road (State Route 9) , Canora, (On the right when traveling north)","The first block Ukrainian settlement in Saskatchewan was established in 1897 when 180 families arrives in the Canora district from western Ukraine. Ottawa had specified that earlier Ukrainian immigrants first settle in Alberta and Manitoba. Canora became a center where the Ukrainian culture and language are still kept alive. Thus, many people know Canora as a Ukrainian town. The distinctive dome on many churches in the area are a lasting feature of this settlement.",https://www.hmdb.org/marker.asp?marker=8492,Saskatchewan Council of the Ukrainian Canadian Committee in cooperation with the Government of Saskatchewan.,1981,Settlements & Settlers,"This page was last revised on  August 16, 2017. This page originally submitted on  June 22, 2008, by Dawn Bowen of Fredericksburg, Virginia.  This page has been viewed 2,511 times since then and 89 times this year."
-82.439438,27.96028,L’Unione Italiana,"On East Seventh Avenue, Tampa, (On the right when traveling west)","Tampa's first Italian–American society
was organized April 4, 1894. During its
early years the club assisted members
through cultural enrichment, providing
education, health care and financial help
to the families of deceased members.
L'Unione Italiana has made a lasting 
contribution in preserving the colorful
ambiance of Italy, which enriches the
cultural life of the Tampa community.",https://www.hmdb.org/marker.asp?marker=8769,L'Unione Italiana and Vigo Importing Company,,"Charity & Public Work,Notable Buildings,Notable Places","This page was last revised on June 16, 2016. This page originally submitted on  July 3, 2008, by Mike Stroud of Bluffton, South Carolina.  This page has been viewed 1,645 times since then and 38 times this year."
-74.01643,40.703564,Castle Clinton National Monument,"Near Battery Place, New York, (On the right when traveling south)","[Left plaque]: 
Last of a series of forts which, from the Dutch ssettlement of 1624, guarded lower Manhattan, this structure was built by the United States in the years 1808 to 1811. It was first called ""West Battery,"" and was one of the important defenses of New York Harbor during the War of 1812 period. Named in honor of Gov. DeWitt Clinton in 1815, in that year it was made headquarters, U.S. Third Military District. From 1816 to 1820 Gen. Winfield Scott was in command. The Headquarters was removed from Castle Clinton to Governors Island in 1820.  

[Right plaque]: 
Ceded to New York City in 1823, Castle Clinton was renamed Castled Garden in 1824. Until 1855 it served as a public center and theater where public figures, including lafayette, Kossuth, and President Jackson, were received, and artists such as Jenny Lind were presented. From 1855 to 1890, the structure was the nation's principal immigrant depot, with over 7 million immigrants entering its portals - the ""Gateway to the New World."" Between 1896 and 1941 the old structure served as the New York City Acquarium. It was created a national monument in 1950.",https://www.hmdb.org/marker.asp?marker=8779,National Park Service,,"Entertainment,Forts, Castles,Military,Notable Persons,War of 1812","This page was last revised on  July 1, 2016. This page originally submitted on  July 3, 2008, by F. Robby of Baltimore, Maryland.  This page has been viewed 1,175 times since then and 34 times this year."
-86.90003333,40.04278333,Otto Schlemmer Building,"On North Green Street, Crawfordsville, (On the left when traveling north)","This property has been 
placed on the 
National Register 
of Historic Places 
by The United States 
Department of The Interior",https://www.hmdb.org/marker.asp?marker=9125,United States Department of the Interior,,"Landmarks,Notable Buildings,Notable Places","This page was last revised on June 16, 2016. This page originally submitted on  July 13, 2008, by Al Wolf of Veedersburg, Indiana.  This page has been viewed 1,389 times since then and 67 times this year."
-77.61691689,38.21375484,Spindle House,"Near Brock Road (County Route 613) , near Spotsylvania, (On the right when traveling south)","Many Spotsylvania families lost property during the war, but Sarah Spindle nearly lost her life. The 36-year-old widow and her family had just sat down to breakfast on May 8, 1864, when the popping of rifles announced the presence of hostile troops. Confederate soldiers started digging protective earthworks on one side of the farm (in front of you). Minutes later Union infantry appeared on the other side of the farm, behind you. They soon charged into Mrs. Spindle's yard and orchard. Fighting raged.  For the rest of the day Mrs. Spindle's farm would become the most contested piece of ground in North America. Fearing that the Federals would use the house as cover, Confederate artillery pummeled it with explosive shells, setting it on fire. Mrs. Spindle and her family ran screaming into the bedlam outside. They dodged their way southward (to your right) and crossed the Po River to safety. The house burned to the ground. Sarah Spindle escaped with her life but lost everything else.",https://www.hmdb.org/marker.asp?marker=10253,Fredericksburg and Spotsylvania National Military Park - National Park Service - U.S. Dept. of the Interior,,"War, US Civil","This page was last revised on June 16, 2016. This page originally submitted on  August 14, 2008, by Craig Swain of Leesburg, Virginia.  This page has been viewed 1,346 times since then and 38 times this year."
-121.470124,38.571749,General John A. Sutter,"On 28th Street, Sacramento, (On the left when traveling south)","Swiss Immigrant 
Founder of New Helvetia 
The beginning of Sacramento 
Builder of Sutter’s Fort 
A man of vision and compassion
who deserves the respect
and gratitude
of Americans and Swiss",https://www.hmdb.org/marker.asp?marker=11182,"the people of Switzerland, Swiss Americans and Friends, the United Swiss Lodge of California-SacramentoOctober 10, 1987).",1987,"Forts, Castles,Industry & Commerce,Landmarks,Notable Persons,Notable Places,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  September 7, 2008, by Syd Whittle of El Dorado Hills, California.  This page has been viewed 1,637 times since then and 57 times this year."
-122.66815,45.6199,A River of Settlers,"Near SE Columbia Way, Vancouver, ","Before 1846 American immigrants traveling the Oregon Trail to Fort Vancouver had to make a choice at The Dalles (80 miles upriver from here). They could navigate their own handmade raft or take a Hudson's Bay Company boat down the Columbia River to here. Many travelers chose to complete these last 80 miles on a Company boat.  

Fort Vancouver's manager, Chief Factor John McLoughlin, generously offered food, supplies, and medical treatment to the weary Americans when they arrived here. He then directed them to settle south of the Columbia River in the Willamette Valley. The Company hoped that by discouraging settlement north of the Columbia River, the river would become the international boundary between the United States and British North America. The plan failed.  

[Map of the two route options available to Oregon Trail travelers from The Dalles is included with the following caption]: 
After 1846 immigrants took either a land or water route from The Dalles to Fort Vancouver. Eventually, the arrival of many thousands of new American settlers helped to tip the balance in favor of the United States' boundary claims.",https://www.hmdb.org/marker.asp?marker=12295,,,"Industry & Commerce,Settlements & Settlers,Waterways & Vessels","This page was last revised on June 16, 2016. This page originally submitted on  October 9, 2008, by Kevin W. of Stafford, Virginia.  This page has been viewed 1,206 times since then and 53 times this year."
-83.007706,39.966135,The Irish in Columbus,"On John McConnell Boulevard, Columbus, (On the right when traveling north)","[Marker Front]: 
Thousands of Irish immigrants came to Columbus to seek personal and religious freedom. With the ""Great Hunger"" in Ireland and the completion of the Ohio and Erie Canal and the National Road, immigration to Columbus increased in the mid nineteenth century. They initially settled in the north side of the city in the swamp flats, where inexpensive land was available and work could be had on the railroads. Settlement spread to Franklinton, on Naghten Street, later known as ""Irish Broadway""- part of which is now Nationwide Boulevard, and to nearby Flytown. The immigrants became domestic workers, civil servants, entrepreneurs, and served the city in police and fire departments. Others were leaders in government, law, medicine, and education. Their legacy continues today in the Irish-American population of Columbus, Ohio.  

[Marker Reverse]: 
These are only a representative few of the Irish individuals and groups who were prominent in the formation of Columbus.  

Irish in Columbus before Ohio Statehood 
Lucas Sullivant, Founder of Franklinton in 1797 
John Brickell, Early settler  

Irish in Columbus during early Statehood 
Thomas Kirker, Ohio's 2nd governor, acting 1807-08 term 
John Kerr, 2nd Mayor of Columbus 
Alfred Kelley, Father of Ohio Canals, Ohio and Erie Canal Developer, and Legislator  

Irish in Columbus after the Great Hunger (1845) 
Sisters of the Poor of St. Francis, St. Francis Hospital 
Dominican Sisters, St. Mary of the Springs, St. Mary of the Springs Academy 
William ""Billy"" Naghten, Columbus City Council President 
Patrick Egan, Franklin County Coroner for ten terms 
Jeremiah O'Shaughnessy, Superintendent, Division of Water, Columbus, Ohio",https://www.hmdb.org/marker.asp?marker=12963,"Coalition of Columbus Irish-American OrganizationsAncient Order of Hibernians, Daughters of Erin, Emerald Society of Columbus, Ohio, Greater Columbus Irish Cultural Foundation, Irish Living History Society of Central Ohio, Ladies Ancient Order of Hibernians, The Gaelic League of Central Ohio, The Shamrock Club of Columbus, Ohio] and The Ohio Historical Society.(Marker Number 42-25.)",2002,"Notable Persons,Settlements & Settlers","This page was last revised on June 16, 2016. This page originally submitted on  October 25, 2008, by William Fischer, Jr. of Scranton, Pennsylvania.  This page has been viewed 1,008 times since then and 32 times this year."
-159.4625,21.905,K&#333;loa Jodo Mission,"On Waikomo Road, Koloa, (On the right when traveling south)","Buddhist temples provided Japanese immigrants a place to worship, study their language, learn martial arts and participate in social events. This Jodo Mission used a specialist in temple architecture from Japan to build the large temple’s interior. Hand-painted, wooden ceiling tiles were a gift from he Japanese artist who rendered them.",https://www.hmdb.org/marker.asp?marker=13007,Po‘ipū Beach Foundation.  (Marker Number 11,,"Churches, Etc.","This page was last revised on June 16, 2016. This page originally submitted on  October 26, 2008, by J. J. Prats of Powell, Ohio.  This page has been viewed 1,239 times since then and 37 times this year."
